sheet_id,image_file,model,accuracy,correct,wrong,unattempted,avg_confidence,section_1_accuracy,section_2_accuracy,section_3_accuracy,timestamp,final_marks,template_drift_px,template_drift_warning
122,122.jpg,cnn_transfer,60.0,18,12,0,0.782,60.0,90.0,30.0,2026-04-09T20:53:52,15.0,6.07,False
143,143.jpg,cnn_transfer,90.0,27,3,0,0.784,90.0,100.0,80.0,2026-05-30T21:38:50,26.25,2.22,False
6,6.jpg,cnn_transfer,100.0,30,0,0,0.97,100.0,100.0,100.0,2026-05-30T22:25:30,30.0,0.24,False
8,8.jpg,cnn_transfer,100.0,30,0,0,0.996,100.0,100.0,100.0,2026-05-30T22:27:16,30.0,0.59,False
9,9.jpg,cnn_transfer,100.0,30,0,0,0.99,100.0,100.0,100.0,2026-05-30T22:28:10,30.0,0.0,False
10,10.jpg,cnn_transfer,100.0,30,0,0,1.0,100.0,100.0,100.0,2026-05-30T22:29:04,30.0,0.0,False
5,5.jpg,cnn_transfer,96.67,29,1,0,0.928,100.0,90.0,100.0,2026-05-30T22:53:44,28.75,0.0,False
7,7.jpg,cnn_transfer,100.0,30,0,0,0.977,100.0,100.0,100.0,2026-05-30T22:54:34,30.0,0.44,False
1,1.jpg,cnn_transfer,100.0,30,0,0,0.997,100.0,100.0,100.0,2026-05-30T23:08:22,30.0,0.0,False
2,2.jpg,cnn_transfer,100.0,30,0,0,0.998,100.0,100.0,100.0,2026-05-30T23:09:14,30.0,0.0,False
102,102.jpg,cnn_transfer,56.67,17,13,0,0.773,80.0,90.0,0.0,2026-05-31T10:49:11,17.0,7.72,False
3,3.jpg,cnn_transfer,100.0,30,0,0,0.989,100.0,100.0,100.0,2026-05-31T10:52:15,30.0,0.0,False
4,4.jpg,cnn_transfer,96.67,29,1,0,0.915,100.0,100.0,90.0,2026-05-31T10:52:54,29.0,0.0,False
